Date Of Stop,Time Of Stop,Agency,SubAgency,Description,Location,Latitude,Longitude,Accident,Belts,Personal Injury,Property Damage,Fatal,Commercial License,HAZMAT,Commercial Vehicle,Alcohol,Work Zone,State,VehicleType,Year,Make,Model,Color,Violation Type,Charge,Article,Contributed To Accident,Race,Gender,Driver City,Driver State,DL State,Arrest Type,Geolocation
11/23/2016,21:59:00,MCP,"3rd district, Silver Spring",DRIVING VEHICLE ON HIGHWAY WITH AN EXPIRED LICENSE,LOCKWOOD @ JULY,39.0428816667,-76.9806833333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1998,VOLKSWAGEN,JETTA,RED,Citation,10,Transportation Article,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0428816666667, -76.9806833333333)"
11/23/2016,22:43:00,MCP,"5th district, Germantown",PASSENGER AGE 16 OR MORE IN OUTBOARD FRONT SEAT OF MOTOR VEHICLE WITHOUT SEATBELT RESTRAINT,I270NB RAMP/MONTGOMERY VILLAGE AVE,39.1489483333,-77.214945,Yes,Yes,Yes,No,No,No,No,No,No,No,MD,02 - Automobile,1996,OLDSMOBILE,DR,MAROON,Citation,11,Transportation Article,No,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.1489483333333, -77.214945)"
11/23/2016,09:05:00,MCP,"2nd district, Bethesda",DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,WISCONSIN AVE @ CHEVY CHASE BLVD,38.9735416667,-77.0900083333,Yes,No,Yes,No,No,No,No,No,No,No,MD,02 - Automobile,2015,VOLVO,TIGUAN,BLUE,Citation,30,Transportation Article,No,WHITE,M,CHEVY CHASE,MD,MD,A - Marked Patrol,"(38.9735416666667, -77.0900083333333)"
11/23/2016,15:50:00,MCP,"2nd district, Bethesda",PASSING IN NO PASSING ZONE,5000 BLK BATTERY LA,38.99098,-77.1044033333,No,Yes,No,No,No,No,No,No,No,No,MD,02 - Automobile,2017,JEEP,SUV,BLACK,Citation,23,Transportation Article,No,WHITE,M,POOLESVILLE,MD,MD,A - Marked Patrol,"(38.99098, -77.1044033333333)"
11/23/2016,22:16:00,MCP,"3rd district, Silver Spring",FAILURE TO STOP AT STOP SIGN,BROADBIRCH AT PLUM ORCHARD,,,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2005,FORD,SW,RED,Citation,12,Transportation Article,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,
11/23/2016,13:04:00,MCP,"5th district, Germantown",DRIVING MOTOR VEHICLE OFF ROADWAY WHILE PASSING VEHICLE,N/B 270 @ 124 (LOCAL LANES),39.1473333333,-77.2154083333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2012,KIA,OPTIMA,SILVER,Citation,31,Transportation Article,No,WHITE,F,GAITHERSBURG,MD,MD,A - Marked Patrol,"(39.1473333333333, -77.2154083333333)"
11/23/2016,19:13:00,MCP,"4th district, Wheaton",DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,GEORGIA AVE/NORBECK RD,39.058445,-77.0480566667,Yes,No,No,No,No,No,No,No,No,No,DC,02 - Automobile,2014,INFINITY,SUV,WHITE,Citation,42,Transportation Article,No,BLACK,M,WASHINGTON,DC,DC,A - Marked Patrol,"(39.058445, -77.0480566666667)"
11/23/2016,19:13:00,MCP,"4th district, Wheaton",DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,GEORGIA AVE/NORBECK RD,39.058445,-77.0480566667,No,Yes,No,No,No,No,No,No,No,No,DC,02 - Automobile,2014,INFINITY,SUV,WHITE,Citation,84,Transportation Article,No,BLACK,M,WASHINGTON,DC,DC,A - Marked Patrol,"(39.058445, -77.0480566666667)"
11/23/2016,19:13:00,MCP,"4th district, Wheaton",DRIVING WHILE IMPAIRED BY ALCOHOL,GEORGIA AVE/NORBECK RD,39.058445,-77.0480566667,Yes,Yes,Yes,No,No,No,No,No,No,No,DC,02 - Automobile,2014,INFINITY,SUV,WHITE,Citation,53,Transportation Article,No,BLACK,M,WASHINGTON,DC,DC,A - Marked Patrol,"(39.058445, -77.0480566666667)"
11/23/2016,19:13:00,MCP,"4th district, Wheaton",DRIVER CHANGING LANES WHEN UNSAFE,GEORGIA AVE/NORBECK RD,39.058445,-77.0480566667,No,No,No,No,No,No,No,No,No,No,DC,02 - Automobile,2014,INFINITY,SUV,WHITE,Citation,12,Transportation Article,No,BLACK,M,WASHINGTON,DC,DC,A - Marked Patrol,"(39.058445, -77.0480566666667)"
11/23/2016,21:34:00,MCP,"3rd district, Silver Spring",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,FENTON ST @ BONIFANT ST,38.9944716667,-77.0244366667,No,Yes,Yes,No,No,No,No,No,No,No,MD,02 - Automobile,2003,TOYOTA,HIGHLANDER,BLACK,Citation,34,Transportation Article,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(38.9944716666667, -77.0244366666667)"
11/23/2016,21:34:00,MCP,"3rd district, Silver Spring",HOLDER OF LEARNER'S PERMIT DRIVING W/O REQ. SUPERVISION,FENTON ST @ BONIFANT ST,38.9944716667,-77.0244366667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003,TOYOTA,HIGHLANDER,BLACK,Citation,49,Transportation Article,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(38.9944716666667, -77.0244366666667)"
11/23/2016,22:37:00,MCP,"6th district, Gaithersburg / Montgomery Village",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,MVA/MIDCOUNTY,39.15985,-77.19941,No,No,No,No,No,No,No,No,No,No,VA,02 - Automobile,2002,DODGE,TK,GREEN,Citation,12,Transportation Article,No,BLACK,M,DUMFRIES,VA,VA,A - Marked Patrol,"(39.15985, -77.19941)"
11/23/2016,22:37:00,MCP,"6th district, Gaithersburg / Montgomery Village",DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,MVA/MIDCOUNTY,39.15985,-77.19941,Yes,Yes,Yes,No,No,No,No,No,No,No,VA,02 - Automobile,2002,DODGE,TK,GREEN,Citation,52,Transportation Article,No,BLACK,M,DUMFRIES,VA,VA,A - Marked Patrol,"(39.15985, -77.19941)"
11/23/2016,22:37:00,MCP,"6th district, Gaithersburg / Montgomery Village",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED OUT-OF-STATE LICENSE,MVA/MIDCOUNTY,39.15985,-77.19941,No,No,No,No,No,No,No,No,No,No,VA,02 - Automobile,2002,DODGE,TK,GREEN,Citation,98,Transportation Article,No,BLACK,M,DUMFRIES,VA,VA,A - Marked Patrol,"(39.15985, -77.19941)"
11/23/2016,22:37:00,MCP,"6th district, Gaithersburg / Montgomery Village",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED OUT-OF-STATE LICENSE,MVA/MIDCOUNTY,39.15985,-77.19941,No,Yes,No,No,No,No,No,No,No,No,VA,02 - Automobile,2002,DODGE,TK,GREEN,Citation,16,Transportation Article,No,BLACK,M,DUMFRIES,VA,VA,A - Marked Patrol,"(39.15985, -77.19941)"
11/23/2016,16:08:00,MCP,"6th district, Gaithersburg / Montgomery Village",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,MONTGOMERY VILLAGE AVE/STEDWICK ROAD,39.171,-77.20468,No,Yes,No,No,No,No,No,No,No,No,MD,02 - Automobile,2012,MAZDA,5 SW,GRAY,Citation,12,Transportation Article,No,NATIVE AMERICAN,F,GAITHERSBURG,MD,MD,A - Marked Patrol,"(39.171, -77.20468)"
11/23/2016,10:41:00,MCP,Headquarters and Special Operations,OPER. MOTOR VEH. WITH OPERATOR NOT RESTRAINED BY SEAT BELT,GEORGIA AVE @ URBANA DR,39.061375,-77.0529733333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1999,SATURN,4DR,BLACK,Citation,90,Transportation Article,No,WHITE,M,SILVER SPRING,MD,MD,Q - Marked Laser,"(39.061375, -77.0529733333333)"
11/23/2016,10:53:00,MCP,Headquarters and Special Operations,EXCEEDING MAXIMUM SPEED: 39 MPH IN A POSTED 30 MPH ZONE,GEORGIA AVE @ URBANA DR,39.0615733333,-77.0530333333,Yes,Yes,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007,NISSAN,4DR,BLUE,Citation,48,Transportation Article,No,HISPANIC,M,ROCKVILLE,MD,MD,Q - Marked Laser,"(39.0615733333333, -77.0530333333333)"
11/23/2016,12:22:00,MCP,Headquarters and Special Operations,FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,GEORGIA @ OLD BALTIMORE RD,39.1342133333,-77.0698166667,No,Yes,No,Yes,No,No,No,No,No,No,MD,05 - Light Duty Truck,2015,CHEVY,SILVERADO,WHITE,Citation,10,Transportation Article,No,WHITE,F,LUTHERVILLE,MD,MD,A - Marked Patrol,"(39.1342133333333, -77.0698166666667)"
11/23/2016,20:00:00,MCP,"6th district, Gaithersburg / Montgomery Village",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,355/MARYLAND AVE,39.1449833333,-77.2025033333,No,Yes,No,No,No,No,No,No,No,No,MD,02 - Automobile,1999,CHEV,2S,GREEN,Citation,48,Transportation Article,No,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,"(39.1449833333333, -77.2025033333333)"
11/23/2016,14:48:00,MCP,"3rd district, Silver Spring",DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,NEW HAMPSHIRE AVE @ COLESVILLE MANOR,39.0852466667,-76.999865,No,No,No,No,No,No,No,No,No,No,VA,02 - Automobile,2012,LINCOLN,NAVIGATOR,BLACK,Citation,12,Transportation Article,No,HISPANIC,M,MANASSAS,VA,VA,A - Marked Patrol,"(39.0852466666667, -76.999865)"
11/23/2016,18:07:00,MCP,"3rd district, Silver Spring",FAILURE STOP AND YIELD AT THRU HWY,300 UNIVERSITY BLVD,39.0110966667,-77.00126,Yes,Yes,No,No,No,No,No,No,No,No,MD,02 - Automobile,2010,HYUNDAI,ELANTA,BLUE,Citation,21,Transportation Article,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0110966666667, -77.00126)"
11/23/2016,20:53:00,MCP,"3rd district, Silver Spring",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,COLESVILLE @ DALE DRIVE,39.0053116667,-77.0236383333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2010,TOYOTOA,COROLLA,SILVER,Citation,12,Transportation Article,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0053116666667, -77.0236383333333)"
11/23/2016,20:53:00,MCP,"3rd district, Silver Spring",DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,COLESVILLE @ DALE DRIVE,39.0053116667,-77.0236383333,No,Yes,No,No,No,No,No,No,No,No,MD,02 - Automobile,2010,TOYOTOA,COROLLA,SILVER,Citation,43,Transportation Article,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0053116666667, -77.0236383333333)"
11/23/2016,21:47:00,MCP,"3rd district, Silver Spring",KNOWINGLY DRIVING UNINSURED VEHICLE,POWDER MILL RD @ NEW HAMPSHIRE AVE,39.0228733333,-76.9756016667,Yes,No,No,No,No,No,No,No,No,No,TX,02 - Automobile,2003,SATURN,L200,SILVER,Citation,45,Transportation Article,No,BLACK,M,BELTSVILLE,MD,MD,A - Marked Patrol,"(39.0228733333333, -76.9756016666667)"
11/23/2016,21:47:00,MCP,"3rd district, Silver Spring",OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,POWDER MILL RD @ NEW HAMPSHIRE AVE,39.0228733333,-76.9756016667,No,No,No,No,No,No,No,No,No,No,TX,02 - Automobile,2003,SATURN,L200,SILVER,Citation,78,Transportation Article,No,BLACK,M,BELTSVILLE,MD,MD,A - Marked Patrol,"(39.0228733333333, -76.9756016666667)"
11/23/2016,21:47:00,MCP,"3rd district, Silver Spring",FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,POWDER MILL RD @ NEW HAMPSHIRE AVE,39.0228733333,-76.9756016667,No,No,No,No,No,No,No,No,No,No,TX,02 - Automobile,2003,SATURN,L200,SILVER,Citation,89,Transportation Article,No,BLACK,M,BELTSVILLE,MD,MD,A - Marked Patrol,"(39.0228733333333, -76.9756016666667)"
11/23/2016,21:47:00,MCP,"3rd district, Silver Spring",UNAUTHORIZED DISPLAY AND USE OF REGISTRATION PLATE,POWDER MILL RD @ NEW HAMPSHIRE AVE,39.0228733333,-76.9756016667,No,Yes,No,No,No,No,No,No,No,No,TX,02 - Automobile,2003,SATURN,L200,SILVER,Citation,43,Transportation Article,No,BLACK,M,BELTSVILLE,MD,MD,A - Marked Patrol,"(39.0228733333333, -76.9756016666667)"
11/23/2016,21:47:00,MCP,"3rd district, Silver Spring",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,POWDER MILL RD @ NEW HAMPSHIRE AVE,39.0228733333,-76.9756016667,No,No,No,No,No,No,No,No,No,No,TX,02 - Automobile,2003,SATURN,L200,SILVER,Citation,53,Transportation Article,No,BLACK,M,BELTSVILLE,MD,MD,A - Marked Patrol,"(39.0228733333333, -76.9756016666667)"
11/23/2016,21:47:00,MCP,"3rd district, Silver Spring","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 17-106, 26-204, 26-206, 27-103",POWDER MILL RD @ NEW HAMPSHIRE AVE,39.0228733333,-76.9756016667,Yes,No,No,No,No,No,No,No,No,No,TX,02 - Automobile,2003,SATURN,L200,SILVER,Citation,12,Transportation Article,No,BLACK,M,BELTSVILLE,MD,MD,A - Marked Patrol,"(39.0228733333333, -76.9756016666667)"
11/23/2016,21:47:00,MCP,"3rd district, Silver Spring",POSSESSING SUSPENDED LIC.,POWDER MILL RD @ NEW HAMPSHIRE AVE,39.0228733333,-76.9756016667,No,No,No,No,No,No,No,No,No,No,TX,02 - Automobile,2003,SATURN,L200,SILVER,Citation,53,Transportation Article,No,BLACK,M,BELTSVILLE,MD,MD,A - Marked Patrol,"(39.0228733333333, -76.9756016666667)"
11/23/2016,21:47:00,MCP,"3rd district, Silver Spring",DISPLAY  SUSPENDED LIC.,POWDER MILL RD @ NEW HAMPSHIRE AVE,39.0228733333,-76.9756016667,No,No,No,No,No,No,No,No,No,No,TX,02 - Automobile,2003,SATURN,L200,SILVER,Citation,53,Transportation Article,No,BLACK,M,BELTSVILLE,MD,MD,A - Marked Patrol,"(39.0228733333333, -76.9756016666667)"
11/23/2016,09:26:00,MCP,"1st district, Rockville",FAILURE TO STOP AT STOP SIGN,LOCBURY DR AND MIDDLEBROOK RD,,,Yes,Yes,No,No,No,No,No,No,No,No,MD,02 - Automobile,2017,HONDA,ACCORD,BLACK,Citation,42,Transportation Article,No,BLACK,M,GERMANTOWN,MD,MD,A - Marked Patrol,
11/23/2016,11:24:00,MCP,"1st district, Rockville",FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,E/B MIDDLEBROOK RD/GREAT SENECA HWY,,,No,Yes,No,Yes,No,No,No,No,No,No,MD,02 - Automobile,2006,CADI,CTS,WHITE,Citation,71,Transportation Article,No,HISPANIC,F,GERMANTOWN,MD,MD,A - Marked Patrol,
11/22/2016,23:55:00,MCP,Headquarters and Special Operations,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY  90,S/B 270  SHADY GROVE,39.0978616667,-77.1779533333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2017,TOYOTA,CAMRY,SILVER,Citation,41,Transportation Article,No,WHITE,F,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.0978616666667, -77.1779533333333)"
11/23/2016,03:01:00,MCP,"4th district, Wheaton",DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,ELKIN ST @ UNIVERSITY BLVD W,39.0582883333,-77.0480783333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1999,FORD,TK,SILVER,Citation,85,Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0582883333333, -77.0480783333333)"
11/23/2016,03:01:00,MCP,"4th district, Wheaton",DRIVING WHILE IMPAIRED BY ALCOHOL,ELKIN ST @ UNIVERSITY BLVD W,39.0582883333,-77.0480783333,Yes,No,Yes,No,No,No,No,No,No,No,MD,02 - Automobile,1999,FORD,TK,SILVER,Citation,54,Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0582883333333, -77.0480783333333)"
11/23/2016,03:01:00,MCP,"4th district, Wheaton",DRIVING VEH. WHILE SO FAR IMPAIRED BY ALCOHOL CANNOT DRIVE SAFELY,ELKIN ST @ UNIVERSITY BLVD W,39.0582883333,-77.0480783333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1999,FORD,TK,SILVER,Citation,75,Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0582883333333, -77.0480783333333)"
11/23/2016,03:01:00,MCP,"4th district, Wheaton",FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,ELKIN ST @ UNIVERSITY BLVD W,39.0582883333,-77.0480783333,No,Yes,No,No,No,No,No,No,No,No,MD,02 - Automobile,1999,FORD,TK,SILVER,Citation,84,Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0582883333333, -77.0480783333333)"
11/23/2016,03:01:00,MCP,"4th district, Wheaton",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,ELKIN ST @ UNIVERSITY BLVD W,39.0582883333,-77.0480783333,No,Yes,No,No,No,No,No,No,No,No,MD,02 - Automobile,1999,FORD,TK,SILVER,Citation,34,Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0582883333333, -77.0480783333333)"
11/23/2016,03:01:00,MCP,"4th district, Wheaton",DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,ELKIN ST @ UNIVERSITY BLVD W,39.0582883333,-77.0480783333,Yes,No,Yes,No,No,No,No,No,No,No,MD,02 - Automobile,1999,FORD,TK,SILVER,Citation,42,Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0582883333333, -77.0480783333333)"
11/23/2016,03:01:00,MCP,"4th district, Wheaton",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,ELKIN ST @ UNIVERSITY BLVD W,39.0582883333,-77.0480783333,No,Yes,No,No,No,No,No,No,No,No,MD,02 - Automobile,1999,FORD,TK,SILVER,Citation,19,Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0582883333333, -77.0480783333333)"
11/23/2016,03:01:00,MCP,"4th district, Wheaton",VEH. DRIVER GIVING FALSE AND FICTITIOUS NAME TO UNIFORMED POLICE,ELKIN ST @ UNIVERSITY BLVD W,39.0582883333,-77.0480783333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1999,FORD,TK,SILVER,Citation,90,Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0582883333333, -77.0480783333333)"
11/23/2016,03:01:00,MCP,"4th district, Wheaton","NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY, LIFE AND PERSON",ELKIN ST @ UNIVERSITY BLVD W,39.0582883333,-77.0480783333,Yes,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1999,FORD,TK,SILVER,Citation,78,Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0582883333333, -77.0480783333333)"
11/23/2016,03:01:00,MCP,"4th district, Wheaton",DRIVING VEHICLE IN VIOLATION OF RESTRICTED LICENSE REQUIREMENT,ELKIN ST @ UNIVERSITY BLVD W,39.0582883333,-77.0480783333,No,Yes,No,No,No,No,No,No,No,No,MD,02 - Automobile,1999,FORD,TK,SILVER,Citation,56,Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0582883333333, -77.0480783333333)"
11/23/2016,03:01:00,MCP,"4th district, Wheaton",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,ELKIN ST @ UNIVERSITY BLVD W,39.0582883333,-77.0480783333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1999,FORD,TK,SILVER,Citation,23,Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0582883333333, -77.0480783333333)"
11/23/2016,03:01:00,MCP,"4th district, Wheaton",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED OUT-OF-STATE LICENSE,ELKIN ST @ UNIVERSITY BLVD W,39.0582883333,-77.0480783333,Yes,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1999,FORD,TK,SILVER,Citation,45,Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0582883333333, -77.0480783333333)"
11/23/2016,03:01:00,MCP,"4th district, Wheaton","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 17-106, 26-204, 26-206, 27-103",ELKIN ST @ UNIVERSITY BLVD W,39.0582883333,-77.0480783333,No,Yes,No,No,No,No,No,No,No,No,MD,02 - Automobile,1999,FORD,TK,SILVER,Citation,78,Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0582883333333, -77.0480783333333)"
11/22/2016,23:24:00,MCP,"6th district, Gaithersburg / Montgomery Village",FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,"19315 KEYMAR WAY MONTGOMERY VILLAGE, MD",39.1729333333,-77.1966783333,Yes,No,Yes,No,No,No,No,No,No,No,MD,02 - Automobile,2005,BMW,TK,BLUE,Citation,34,Transportation Article,Yes,BLACK,F,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.1729333333333, -77.1966783333333)"
11/23/2016,00:23:00,MCP,"6th district, Gaithersburg / Montgomery Village",DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,MVA/CHRISTOPHER,39.156845,-77.2064666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1994,HONDA,2S,BLACK,Citation,89,Transportation Article,No,HISPANIC,M,GAITHERSBURG,MD,MD,A - Marked Patrol,"(39.156845, -77.2064666666667)"
